#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
1,Blue and brown gradient diamonds ,https://www.braceletbook.com/patterns/normal/47488/,Normal,1/1/2024,1/4/2024,8,Airpod case,112,Keeping
2,Pink daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,1/6/2024,1/6/2024,3,Choker,6,Keeping
3,Tangled shaped #1,https://www.braceletbook.com/patterns/alpha/46851/,Alpha,1/6/2024,1/6/2024,2,Bracelet,13,Sold
4,Tangled shaped #2,https://www.braceletbook.com/patterns/alpha/46851/,Alpha,1/6/2024,1/7/2024,2,Bracelet,13,Gave away
5,Simba shaped,https://www.braceletbook.com/patterns/alpha/30827/,Alpha,1/7/2024,1/7/2024,6,Bracelet,13,Gave away
6,Gaston shaped,https://www.braceletbook.com/patterns/alpha/66893/,Alpha,1/7/2024,1/7/2024,6,Bracelet,16,Selling
7,Big rainbow arrowhead,https://www.braceletbook.com/patterns/normal/77896/,Normal,1/8/2024,1/9/2024,20,Chapstick holder,60,Keeping
8,Rose Belle shaped,https://www.braceletbook.com/patterns/alpha/69616/,Alpha,1/9/2024,1/10/2024,6,Bracelet,13,Keeping
9,Mulan shaped,https://www.braceletbook.com/patterns/alpha/47145/,Alpha,1/10/2024,1/10/2024,5,Bracelet,14,Gave away
10,Jasmine shaped,https://www.braceletbook.com/patterns/alpha/47144/,Alpha,1/10/2024,1/10/2024,6,Bracelet,15,Gave away
11,Cri-Kee shaped,,Alpha,1/11/2024,1/11/2024,5,Bracelet,15,Gave away
12,Grogu,https://www.braceletbook.com/patterns/alpha/75652/,Alpha,1/16/2024,1/16/2024,8,Bracelet,13,Gave away
13,Mountain themed colored arrowhead,https://www.braceletbook.com/patterns/normal/135407/,Normal,1/16/2024,1/18/2024,5,Bracelet,16,Keeping
14,Knot peter mystery #3,https://www.braceletbook.com/patterns/normal/164958/,Normal,2/9/2024,2/18/2024,6,Bracelet,22,Keeping
