#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
15,Big rainbow starburst,https://www.braceletbook.com/patterns/normal/138295/,Normal,5/23/2024,5/24/2024,7,Bracelet,38,Keeping
16,Mermaids swimming,https://www.braceletbook.com/patterns/alpha/28780/,Alpha,5/25/2024,5/26/2024,10,Bracelet,17,Keeping
17,Feather and birds,https://www.braceletbook.com/patterns/alpha/20268/,Alpha,5/27/2024,5/28/2024,8,Bookmark,16,Keeping
18,Flaming branch,https://www.braceletbook.com/patterns/alpha/81278/,Alpha,5/28/2024,5/29/2024,6,Bookmark,14,Keeping
19,Blue and green butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,5/31/2024,6/4/2024,3,Bracelet,10,Selling
20,Purple and green butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,5/31/2024,6/4/2024,3,Bracelet,10,Sold
21,Orange and green butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,6/4/2024,6/4/2024,3,Bracelet,10,Selling
22,Girl with hat,https://www.braceletbook.com/patterns/alpha/83959/,Alpha,6/6/2024,6/9/2024,2,Wallhanging,62,Keeping
23,Blue smily jellyfish,https://www.braceletbook.com/patterns/alpha/147677/,Alpha,6/10/2024,6/10/2024,3,Keychain,20,Sold
24,Purple sad jellyfish,https://www.braceletbook.com/patterns/alpha/147679/,Alpha,6/10/2024,6/10/2024,3,Keychain,20,Sold
25,Green shocked jellyfish,https://www.braceletbook.com/patterns/alpha/147680/,Alpha,6/10/2024,6/10/2024,3,Keychain,20,Sold
26,Pink winky jellyfish,https://www.braceletbook.com/patterns/alpha/147769/,Alpha,6/14/2024,6/14/2024,3,Keychain,20,Sold
27,Orange tongue out jellyfish,https://www.braceletbook.com/patterns/alpha/147891/,Alpha,6/15/2024,6/15/2024,3,Keychain,20,Selling
28,Pastel rainbow slavic outline,https://www.braceletbook.com/patterns/normal/34491/,Normal,6/18/2024,6/18/2024,3,Bracelet,30,Keeping
29,Verigated green celtic knots,https://www.braceletbook.com/patterns/normal/117989/,Normal,6/19/2024,6/21/2024,4,Bracelet,30,Keeping
30,Pink and blue sideways butterfly chain,https://www.braceletbook.com/patterns/normal/163775/,Normal,6/22/2024,6/22/2024,3,Bracelet,8,Keeping
31,Bridge four,https://www.braceletbook.com/patterns/alpha/170337/,Alpha,6/23/2024,6/24/2024,2,Keychain,32,Keeping
32,3D blue butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,6/25/2024,6/25/2024,3,Bracelet,10,Keeping
33,Light blue daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/26/2024,6/26/2024,3,Bracelet,6,Sold
34,Light green daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/26/2024,6/26/2024,3,Bracelet,6,Sold
35,Light pink daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/26/2024,6/26/2024,3,Bracelet,6,Sold
36,Light purple daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/26/2024,6/27/2024,3,Bracelet,6,Sold
37,Light orange daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/27/2024,6/27/2024,3,Bracelet,6,Selling
38,Light yellow daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,6/27/2024,6/27/2024,3,Bracelet,6,Sold
39,Pusheen shaped,https://www.braceletbook.com/patterns/alpha/171211/,Alpha,7/5/2024,7/5/2024,2,Bracelet,11,Selling
40,Cool toned rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/5/2024,7/5/2024,,Bracelet,12,Selling
41,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/5/2024,7/6/2024,,Bracelet,12,Selling
42,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/6/2024,7/6/2024,,Bracelet,12,Selling
43,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/6/2024,7/7/2024,,Bracelet,12,Selling
44,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/7/2024,7/7/2024,,Bracelet,12,Selling
45,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/7/2024,7/7/2024,,Bracelet,12,Selling
46,Purple rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/7/2024,7/8/2024,,Bracelet,12,Selling
47,Purple rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/8/2024,7/8/2024,,Bracelet,12,Selling
48,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/8/2024,7/8/2024,,Bracelet,12,Selling
49,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/8/2024,7/9/2024,,Bracelet,12,Selling
50,Blue rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/9/2024,7/9/2024,,Bracelet,12,Selling
51,Green rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/9/2024,7/10/2024,,Bracelet,12,Selling
52,Green rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/10/2024,7/10/2024,,Bracelet,12,Selling
53,Orange rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/11/2024,7/11/2024,,Bracelet,12,Selling
54,Orange rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/11/2024,7/11/2024,,Bracelet,12,Selling
55,Orange rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/11/2024,7/11/2024,,Bracelet,12,Selling
56,Yellow rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/12/2024,7/12/2024,,Bracelet,12,Selling
57,Pink rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/12/2024,7/15/2024,,Bracelet,12,Selling
58,Pink rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/15/2024,7/15/2024,,Bracelet,12,Selling
59,Pink rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/15/2024,7/16/2024,,Bracelet,12,Selling
60,Pink rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/16/2024,7/16/2024,,Bracelet,12,Selling
61,Pink rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/16/2024,7/17/2024,,Bracelet,12,Selling
62,Outline Heart chain,https://www.braceletbook.com/patterns/normal/143087/,Normal,7/31/2024,7/31/2024,2,Bracelet,8,Sold
63,Dark purple pumpkin chain,https://www.braceletbook.com/patterns/normal/156926/,Normal,7/31/2024,7/31/2024,4,Bracelet,8,Selling
64,Light purple pumpkin chain,https://www.braceletbook.com/patterns/normal/156926/,Normal,7/31/2024,8/1/2024,4,Bracelet,8,Selling
65,Mauve pumpkin chain,https://www.braceletbook.com/patterns/normal/156926/,Normal,8/1/2024,8/1/2024,4,Bracelet,8,Selling
66,Light blue bee chain,https://www.braceletbook.com/patterns/normal/146589/,Normal,8/2/2024,8/2/2024,4,Bracelet,6,Keeping
67,Pink beehive and flowers,https://www.braceletbook.com/patterns/alpha/70431/,Alpha,8/2/2024,8/3/2024,12,Bracelet,12,Sold
68,Blue flower outline- Collab,https://www.braceletbook.com/patterns/normal/147997/,Normal,8/3/2024,8/3/2024,4,Bracelet,20,Keeping
69,Tortured poets album cover,https://www.braceletbook.com/patterns/alpha/169298/,Alpha,8/3/2024,8/5/2024,5,Wallhanging,58,Keeping
70,Shaped crystal ball,https://www.braceletbook.com/patterns/alpha/53813/,Alpha,8/5/2024,8/5/2024,6,Keychain,26,Selling
71,Whale and sun outlines,https://www.braceletbook.com/patterns/alpha/57897/,Alpha,8/6/2024,8/6/2024,3,Keychain,24,Keeping
72,Polaroid camera,https://www.braceletbook.com/patterns/alpha/36958/,Alpha,8/6/2024,8/6/2024,8,Keychain,22,Selling
73,Sparkly gems,https://www.braceletbook.com/patterns/alpha/139124/,Alpha,8/7/2024,8/8/2024,8,Bracelet,14,Keeping
74,Twilight patchwork,https://www.braceletbook.com/patterns/alpha/129004/,Alpha,8/8/2024,8/8/2024,11,Bracelet,13,Gave away
75,Pumpkin spice coffee,https://www.braceletbook.com/patterns/alpha/56093/,Alpha,8/8/2024,8/9/2024,8,Keychain,19,Keeping
76,Blue varigated vertical wave,https://www.braceletbook.com/patterns/alpha/15234/,Alpha,8/9/2024,8/9/2024,2,Bracelet,8,Keeping
77,3D heart,https://www.braceletbook.com/patterns/alpha/173964/,Alpha,8/9/2024,8/9/2024,2,Bracelet,12,Keeping
78,Koala shaped,https://www.braceletbook.com/patterns/alpha/145861/,Alpha,8/10/2024,8/10/2024,4,Bracelet,10,Sold
79,Leaf with color splash,https://www.braceletbook.com/patterns/alpha/59790/,Alpha,8/10/2024,8/11/2024,3,Keychain,23,Selling
80,Oranges,https://www.braceletbook.com/patterns/alpha/39706/,Alpha,8/11/2024,8/11/2024,5,Bracelet,15,Selling
81,Blueberry chain,https://www.braceletbook.com/patterns/normal/172952/,Normal,8/12/2024,8/12/2024,3,Bracelet,8,Sold
82,Gradient hogwarts castle,https://www.braceletbook.com/patterns/alpha/57930/,Alpha,8/12/2024,8/13/2024,6,Bookmark,25,Keeping
83,Stardew valley strawberry,https://www.braceletbook.com/patterns/alpha/170352/,Alpha,8/14/2024,8/14/2024,6,Keychain,18,Gave away
84,Fall bird book,https://www.braceletbook.com/patterns/alpha/96028/,Alpha,8/14/2024,8/15/2024,11,Bookmark,27,Keeping
85,Evermore daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,8/20/2024,8/21/2024,3,Bracelet,6,Gave away
86,Ivy TS,https://www.braceletbook.com/patterns/alpha/171827/,Alpha,8/22/2024,8/22/2024,6,Bracelet,14,Gave away
87,Sunset mountain,https://www.braceletbook.com/patterns/normal/55745/,Normal,8/24/2024,8/24/2024,7,Bracelet,12,Selling
88,1212 sunset mountains,https://www.braceletbook.com/patterns/normal/35875/,Normal,8/24/2024,8/24/2024,5,Bracelet,12,Selling
89,Autumn leaf chain,https://www.braceletbook.com/patterns/normal/160084/,Normal,8/24/2024,8/25/2024,4,Bracelet,8,Keeping
90,Debut butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,8/26/2024,8/26/2024,3,Bracelet,10,Gave away
91,Purple green diamond outlines,https://www.braceletbook.com/patterns/normal/90669/,Normal,8/26/2024,8/27/2024,4,Bracelet,22,Selling
92,Shaped candy corn,https://www.braceletbook.com/patterns/normal/106257/,Normal,8/27/2024,8/27/2024,4,Bracelet,16,Selling
93,Purple and orange bat chain,https://www.braceletbook.com/patterns/normal/159512/,Normal,8/27/2024,8/27/2024,3,Bracelet,6,Selling
94,Purple and orange bat chain,https://www.braceletbook.com/patterns/normal/159512/,Normal,8/27/2024,8/28/2024,3,Bracelet,6,Selling
95,Glow in the dark spiderweb,https://www.braceletbook.com/patterns/alpha/126631/,Alpha,9/6/2024,9/8/2024,2,Bracelet,14,Keeping
96,Yellow and orange outlines,https://www.braceletbook.com/patterns/normal/58384/,Normal,9/19/2024,9/23/2024,4,Bracelet,34,Keeping
97,Starry road,https://www.braceletbook.com/patterns/normal/62824/,Normal,9/26/2024,9/28/2024,4,Bracelet,17,Keeping
98,Grey sabrina 3D heart,https://www.braceletbook.com/patterns/alpha/173964/,Normal,10/1/2024,10/2/2024,2,Choker,12,Keeping
99,Pumpkin witch hat,https://www.braceletbook.com/patterns/alpha/106316/,Alpha,10/9/2024,10/9/2024,5,Keychain,17,Sold
100,Red and orange celtic,https://www.braceletbook.com/patterns/normal/108285/,Normal,11/6/2024,11/6/2024,3,Bracelet,30,Keeping
101,Branches book and moon,https://www.braceletbook.com/patterns/alpha/173361/,Alpha,11/12/2024,11/18/2024,4,Keychain,20,Keeping
102,Trees leafs and railroad,https://www.braceletbook.com/patterns/alpha/136812/,Alpha,11/24/2024,11/26/2024,9,Bookmark,25,Keeping
103,Green and purple celtic diamonds,https://www.braceletbook.com/patterns/normal/123515/,Normal,11/26/2024,11/27/2024,5,Bracelet,24,Gave away
104,Purple heart diamonds,https://www.braceletbook.com/patterns/normal/178444/,Normal,11/27/2024,11/27/2024,6,Bracelet,22,Gave away
105,Green and purple overlapping starburst,https://www.braceletbook.com/patterns/normal/115700/,Normal,11/28/2024,11/28/2024,7,Bracelet,20,Gave away
106,Green gradient snowflakes,https://www.braceletbook.com/patterns/normal/172957/,Normal,11/28/2024,11/29/2024,4,Bracelet,20,Gave away
107,Purple/pink old mystery,https://www.braceletbook.com/patterns/normal/144205/,Normal,11/29/2024,12/2/2024,5,Bracelet,24,Keeping
108,Diamond orange and watermelons,https://www.braceletbook.com/patterns/normal/47488/,Normal,12/21/2024,12/22/2024,8,Chapstick holder,64,Keeping
109,Light purple daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,12/22/2024,12/22/2024,3,Bracelet,6,Sold
110,Bright blue daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,12/22/2024,12/22/2024,3,Bracelet,6,Selling
111,Light blue daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,12/22/2024,12/22/2024,3,Bracelet,6,Sold
112,Light green daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,12/22/2024,12/22/2024,3,Bracelet,6,Selling
113,Light pink daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,12/22/2024,12/23/2024,3,Bracelet,6,Sold
