#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
119,July Third mystery orange,https://www.braceletbook.com/patterns/normal/152843/,Normal,7/25/2023,7/26/2023,6,Bracelet,26,Keeping
120,Warm toned rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/27/2023,7/27/2023,,Bracelet,12,Keeping
121,Warm toned rag rug,https://www.braceletbook.com/patterns/alpha/36730/,Alpha,7/27/2023,7/28/2023,,Bracelet,12,Keeping
122,Collab green and pink celtic,https://www.braceletbook.com/patterns/normal/95727/,Normal,7/28/2023,7/28/2023,3,Bracelet,22,Selling
123,July Mystery Fifth segment blue lighter,http://braceletbook.com/patterns/normal/152837/,Normal,7/29/2023,7/29/2023,6,Bracelet,26,Keeping
124,Folklore Outlined with Stars,https://www.braceletbook.com/patterns/alpha/115074/,Alpha,7/30/2023,7/31/2023,3,Bracelet,24,Keeping
125,Folklore thinner,https://www.braceletbook.com/patterns/alpha/152576/,Alpha,7/31/2023,8/3/2023,3,Bracelet,15,Gave away
126,Green and pink butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,8/4/2023,8/4/2023,3,Bracelet,10,Sold
127,Brown orange and purple butterfly chain,https://www.braceletbook.com/patterns/normal/147545/,Normal,8/4/2023,8/4/2023,3,Bracelet,10,Sold
128,Purple boba tea,https://www.braceletbook.com/patterns/alpha/46834/,Alpha,8/5/2023,8/5/2023,5,Keychain,14,Sold
129,Speak now TS daisychain,https://www.braceletbook.com/patterns/normal/147545/,Normal,8/5/2023,8/6/2023,3,Bracelet,6,Gave away
130,Brown boba tea,https://www.braceletbook.com/patterns/alpha/46834/,Normal,8/6/2023,8/6/2023,5,Keychain,14,Selling
131,Speak now cardigan chain,,Normal,8/6/2023,8/6/2023,2,Bracelet,8,Keeping
132,Rainbow arrowhead,https://www.braceletbook.com/patterns/normal/27252/,Normal,8/6/2023,8/8/2023,12,Bracelet,24,Keeping
133,Purple moon and bats,https://www.braceletbook.com/patterns/alpha/135439/,Alpha,8/8/2023,8/8/2023,3,Keychain,15,Selling
134,Blue and grey diamond black circle bracelet,https://www.braceletbook.com/patterns/normal/26416/,Normal,8/8/2023,8/10/2023,6,Bracelet,38,Keeping
135,Pumpkin gnome,https://www.braceletbook.com/patterns/alpha/135129/,Alpha,8/10/2023,8/10/2023,6,Keychain,15,Sold
136,Lavender potted plant,https://www.braceletbook.com/patterns/alpha/80550/,Alpha,8/10/2023,8/10/2023,5,Keychain,16,Sold
137,Hot Chocolate/Coffee heart with smoke,https://www.braceletbook.com/patterns/alpha/116838/,Alpha,8/11/2023,8/11/2023,5,Keychain,16,Selling
138,Cherry cow,https://www.braceletbook.com/patterns/alpha/148631/,Alpha,8/12/2023,8/13/2023,8,Bracelet,16,Sold
139,Purple bat,https://www.braceletbook.com/patterns/alpha/54593/,Alpha,8/13/2023,8/13/2023,4,Keychain,16,Sold
140,Macreme diamonds and chains,https://www.braceletbook.com/patterns/normal/54171/,Normal,8/14/2023,8/15/2023,1,Bracelet,22,Gave away
141,Blue and yellow diamonds and lines,https://www.braceletbook.com/patterns/normal/94685/,Normal,8/15/2023,8/17/2023,5,Bracelet,24,Selling
142,Strawberry chain,https://www.braceletbook.com/patterns/normal/146841/,Normal,8/18/2023,8/18/2023,3,Bracelet,8,Keeping
143,Half orange butterfly,https://www.braceletbook.com/patterns/alpha/41349/,Alpha,8/19/2023,8/21/2023,5,Bookmark,22,Keeping
144,Fall celtic outline,https://www.braceletbook.com/patterns/normal/106300/,Normal,11/21/2023,11/24/2023,3,Bracelet,30,Keeping
145,1989 TV daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,10/21/2023,10/21/2023,3,Bracelet,6,Gave away
146,Speak now daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,10/21/2023,10/21/2023,3,Bracelet,6,Gave away
147,1989 TV daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,10/21/2023,10/21/2023,3,Bracelet,6,Gave away
148,Speak now daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,10/21/2023,10/21/2023,3,Bracelet,6,Gave away
149,Purple daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,11/2/2023,11/2/2023,3,Bracelet,6,Gave away
150,White and blue snowflake,https://www.braceletbook.com/patterns/normal/111483/,Normal,12/4/2023,12/5/2023,2,Bracelet,16,Keeping
151,Tree river landscape,https://www.braceletbook.com/patterns/alpha/138852/,Alpha ,12/23/2023,12/24/2023,8,Bookmark,25,Keeping
152,Heart mittens,https://www.braceletbook.com/patterns/alpha/140914/,Alpha ,12/25/2023,12/26/2023,6,Keychain,23,Gave away
153,Tangled stained glass,https://www.braceletbook.com/patterns/alpha/128116/,Alpha,12/27/2023,12/29/2023,6,Bookmark,31,Keeping
154,Big rainbow arrowhead ,https://www.braceletbook.com/patterns/normal/77896/,Normal,12/29/2023,12/31/2023,20,Chapstick holder ,60,Keeping
